Ref number	reference	citations	survey	pipeline	type	comment
125	Kazuto Fukuchi and Jun Sakuma. 2015. Fairness-aware learning with restriction of universal dependency using f-divergences. arXiv preprint arXiv:1506.07721 (2015).	5	hort	in-processing	constraints	
126	"Sainyam Galhotra, Karthikeyan Shanmugam, Prasanna Sattigeri, and Kush R. Varshney. 2022. Causal Feature Selection for Algorithmic Fairness. In Proceedings of the International Conference on Management of Data (SIGMOD’22). Association for Computing Machinery, New York, NY, 276285. DOI:"	40	hort	pre-processing	representation	addition_features
127	"Xuanqi Gao, Juan Zhai, Shiqing Ma, Chao Shen, Yufei Chen, and Qian Wang. 2022. FairNeuron: Improving deep neural network fairness with adversary games on selective neurons. In Proceedings of the 44th International Conference on Software Engineering (ICSE’22). Association for Computing Machinery, New York, NY, 921933. DOI"	39	hort	in-processing	adjusted	
128	"Adriana Solange Garcia de Alford, Steven K. Hayden, Nicole Wittlin, and Amy Atwood. 2020. Reducing age bias in machine learning: An algorithmic approach. SMU Data Sci. Rev. 3, 2 (2020), 11"	9	hort	in-processing	adversarial	
129	"Bhavya Ghai, Mihir Mishra, and Klaus Mueller. 2022. Cascaded debiasing: Studying the cumulative effect of multiple fairness-enhancing interventions. arXiv preprint arXiv:2202.03734 (2022)"	12	hort			
130	"Stephen Gillen, Christopher Jung, Michael Kearns, and Aaron Roth. 2018. Online learning with an unknown fairness metric. Adv. Neural Inf. Process. Syst. 31 (2018)"	172	hort	in-processing	adversarial	individual_fairness
131	"Naman Goel, Mohammad Yaghini, and Boi Faltings. 2018. Non-discriminatory machine learning through convex fairness criteria. In Proceedings of the 32nd AAAI Conference on Artificial Intelligence."	118	hort	in-processing	constraints	
132	"Gabriel Goh, Andrew Cotter, Maya Gupta, and Michael P. Friedlander. 2016. Satisfying real-world goals with dataset constraints. In Proceedings of the International Conference on Advances in Neural Information Processing Systems. 2415–2423."	254	hort	in-processing	constraints	
133	"Paula Gordaliza, Eustasio Del Barrio, Gamboa Fabrice, and Jean-Michel Loubes. 2019. Obtaining fairness using optimal transport theory. In Proceedings of the International Conference on Machine Learning. PMLR, 2357–2365."	193	hort	pre-processing	representation	optimisation
134	"Przemyslaw A. Grabowicz, Nicholas Perello, and Aarshee Mishra. 2022. Marrying fairness and explainability in supervised learning. In Proceedings of the ACM Conference on Fairness, Accountability, and Transparency. 1905–1916"	43	hort	post-processing	classifier	
135	"Vincent Grari, Oualid El Hajouji, Sylvain Lamprier, and Marcin Detyniecki. 2021. Learning unbiased representations via Rényi minimization. In Proceedings of the Joint European Conference on Machine Learning and Knowledge Discovery in Databases. Springer, 749–764."	19	hort	pre-processing	representation	adversarial
136	"Vincent Grari, Sylvain Lamprier, and Marcin Detyniecki. 2021. Fairness-aware neural Rényi minimization for continuous features. In Proceedings of the 29th International Conference on International Joint Conferences on Artificial Intelligence. 2262–2268"	55	hort	in-processing	adversarial	
137	"Vincent Grari, Sylvain Lamprier, and Marcin Detyniecki. 2021. Fairness without the sensitive attribute via Causal Variational Autoencoder. arXiv preprint arXiv:2109.04999 (2021)."	32	hort	in-processing	adversarial	latent_groupmembership
138	"Vincent Grari, Boris Ruf, Sylvain Lamprier, and Marcin Detyniecki. 2019. Fair adversarial gradient tree boosting. In Proceedings of the IEEE International Conference on Data Mining (ICDM’19). IEEE, 1060–1065."	37	hort	in-processing	adversarial	
139	"Nina Grgić-Hlača, Muhammad Bilal Zafar, Krishna P. Gummadi, and Adrian Weller. 2018. Beyond distributive fairness in algorithmic decision making: Feature selection for procedurally fair learning. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 32."	249	hort	in-processing	constraints	selection_features
140	"Maya Gupta, Andrew Cotter, Mahdi Milani Fard, and Serena Wang. 2018. Proxy fairness. arXiv preprint arXiv:1806.11212 (2018)."	4	hort	post-processing	classifier	equal_odds
141	"Umang Gupta, Aaron Ferber, Bistra Dilkina, and Greg Ver Steeg. 2021. Controllable guarantees for fair outcomes via contrastive information estimation. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 35. 7610–7619."	52	hort	pre-processing	representation	contrastive
142	Philipp Hacker and Emil Wiedemann. 2017. A continuous framework for fairness. arXiv preprint arXiv:1712.07924 (2017).	28	hort	pre-processing	representation	optimisation
143	"Sara Hajian and Josep Domingo-Ferrer. 2012. A methodology for direct and indirect discrimination prevention in data mining. IEEE Trans. Knowl. Data Eng. 25, 7 (2012), 1445–1459."	430	hort	pre-processing	relabelling	perturbation
144	"Moritz Hardt, Eric Price, and Nati Srebro. 2016. Equality of opportunity in supervised learning. In Proceedings of the International Conference on Advances in Neural Information Processing Systems. 3315–3323."	5027	hort	post-processing	classifier	equal_odds
145	"Tatsunori Hashimoto, Megha Srivastava, Hongseok Namkoong, and Percy Liang. 2018. Fairness without demographics in repeated loss minimization. In Proceedings of the International Conference on Machine Learning. PMLR, 1929–1938."	677	hort	in-processing	adjusted	distributionally_robust_optimisation
146	"Ursula Hébert-Johnson, Michael Kim, Omer Reingold, and Guy Rothblum. 2018. Multicalibration: Calibration for the (computationally-identifiable) masses. In Proceedings of the International Conference on Machine Learning. PMLR, 1939–1948."	483	hort	in-processing	adjusted	multicalibration
147	"Hoda Heidari, Claudio Ferrari, Krishna Gummadi, and Andreas Krause. 2018. Fairness behind a veil of ignorance: A welfare analysis for automated decision making. Adv. Neural Inf. Process. Syst. 31 (2018)."	143	hort	in-processing	constraints	
148	"James M. Hickey, Pietro G. Di Stefano, and Vlasios Vasileiou. 2020. Fairness by explicability and adversarial SHAP learning. In Proceedings of the Joint European Conference on Machine Learning and Knowledge Discovery in Databases. Springer, 174–190."	31	hort	in-processing	regularisation	
149	"Kenneth Holstein, Jennifer Wortman Vaughan, Hal Daumé III, Miro Dudik, and Hanna Wallach. 2019. Improving fairness in machine learning systems: What do industry practitioners need? In Proceedings of the CHI Conference on Human Factors in Computing Systems. 1–16."	899	hort			
150	"Max Hort and Federica Sarro. 2021. Did you do your homework? Raising awareness on software fairness anddiscrimination. In 36th IEEE/ACM International Conference on Automated Software Engineering (ASE’21). IEEE, 1322–1326."	22	hort	in-processing	adjusted	hyperparameters_tuning
151	"Max Hort, Jie Zhang, Federica Sarro, and Mark Harman. 2021. Fairea: A model behaviour mutation approach to benchmarking bias mitigation methods. In Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering."	72	hort			
152	"Shengyuan Hu, Zhiwei Steven Wu, and Virginia Smith. 2022. Provably fair federated learning via bounded group loss. arXiv preprint arXiv:2203.10190 (2022)."	12	hort	in-processing	constraints	
153	"Tongxin Hu, Vasileios Iosifidis, Wentong Liao, Hang Zhang, Michael Ying Yang, Eirini Ntoutsi, and Bodo Rosenhahn. 2020. FairNN-conjoint learning of fair representations for fair decisions. In Proceedings of the International Conference on Discovery Science. Springer, 581–595."	25	hort	in-processing	adjusted	ap_star
154	"Lingxiao Huang and Nisheeth Vishnoi. 2019. Stable and fair classification. In Proceedings of the International Conference on Machine Learning. PMLR, 2879–2890."	88	hort	in-processing	regularisation	
155	"Xiaoling Huang, Zhenghui Li, Yilun Jin, and Wenyu Zhang. 2022. Fair-AdaBoost: Extending AdaBoost method to achieve fair classification. Expert Syst. Applic. 202 (2022), 117240."	50	hort	in-processing	adjusted	
156	"Ben Hutchinson and Margaret Mitchell. 2019. 50 years of test (un) fairness: Lessons for machine learning. In Proceedings of the Conference on Fairness, Accountability, and Transparency. 49–58."	415	hort			
157	"Alexey Ignatiev, Martin C. Cooper, Mohamed Siala, Emmanuel Hebrard, and Joao Marques-Silva. 2020. Towards formal fairness in machine learning. In Proceedings of the International Conference on Principles and Practice of Constraint Programming. Springer, 846–867."	48	hort	in-processing	adjusted	
158	"Eugenia Iofinova, Nikola Konstantinov, and Christoph H. Lampert. 2021. Flea: Provably fair multisource learning from unreliable training data. arXiv preprint arXiv:2106.11732 (2021)."	11	hort	pre-processing	sampling	downsampling
159	"Vasileios Iosifidis, Besnik Fetahu, and Eirini Ntoutsi. 2019. FAE: A fairness-aware ensemble framework. In Proceedings of the IEEE International Conference on Big Data (Big Data’19). IEEE, 1375–1380."	72	hort	post-processing	output	group_dependent
160	Vasileios Iosifidis and Eirini Ntoutsi. 2018. Dealing with bias via data augmentation in supervised learning scenarios. Jo Bates Paul D. Clough Robert Jäschke 24 (2018).	80	hort	pre-processing	sampling	smote_like
161	Vasileios Iosifidis and Eirini Ntoutsi. 2019. AdaFair: Cumulative fairness adaptive boosting. In Proceedings of the 28th ACM International Conference on Information and Knowledge Management. 781–790	96	hort	in-processing	adjusted	boosting
162	"Vasileios Iosifidis and Eirini Ntoutsi. 2020. FABBOO-online fairness-aware learning under class imbalance. In Proceedings of the International Conference on Discovery Science. Springer, 159–174."	35	hort	in-processing	adjusted	boosting
163	"Vasileios Iosifidis, Arjun Roy, and Eirini Ntoutsi. 2022. Parity-based cumulative fairness-aware boosting. Knowl. Inf. Syst. (27 Jul.2022)"	5	hort	post-processing	classifier	
164	"Vasileios Iosifidis, Thi Ngoc Han Tran, and Eirini Ntoutsi. 2019. Fairness-enhancing interventions in stream classification. In Proceedings of the International Conference on Database and Expert Systems Applications. Springer, 261–276."	39	hort	pre-processing	sampling	reweighing
165	"Rashidul Islam, Shimei Pan, and James R. Foulds. 2021. Can we obtain fairness for free? In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. 586–596."	29	hort	in-processing	adjusted	hyperparameters_tuning
166	"Ayush Jaiswal, Daniel Moyer, Greg Ver Steeg, Wael AbdAlmageed, and Premkumar Natarajan. 2020. Invariant representations through adversarial forgetting. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 34. 4272–4279."	47	hort	pre-processing	representation	adversarial
167	"Taeuk Jang, Pengyi Shi, and Xiaoqian Wang. 2022. Group-aware threshold adaptation for fair classification. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 36. 6988–6995."	36	hort	post-processing	output	group_dependent
168	"Taeuk Jang, Feng Zheng, and Xiaoqian Wang. 2021. Constructing a fair classifier with generated fair data. In Proceedings of the AAAI Conference on Artificial Intelligence, Vol. 35. 7908–7916."	42	hort	pre-processing	sampling	generative
169	"Heinrich Jiang and Ofir Nachum. 2020. Identifying and correcting label bias in machine learning. In Proceedings of the International Conference on Artificial Intelligence and Statistics. PMLR, 702–712."	361	hort	pre-processing	sampling	reweighing
170	"Ray Jiang, Aldo Pacchiano, Tom Stepleton, Heinrich Jiang, and Silvia Chiappa. 2020. Wasserstein fair classification. In Uncertainty in Artificial Intelligence. PMLR, 862–872."	207	hort	post-processing	classifier	logistic_regression
171	"Zhimeng Jiang, Xiaotian Han, Chao Fan, Fan Yang, Ali Mostafavi, and Xia Hu. 2022. Generalized demographic parity for group fairness. In Proceedings of the International Conference on Learning Representations. Retrieved from https://openreview.net/forum?id=YigKlMJwjye"	64	hort	in-processing	regularisation	
172	"Jiayin Jin, Zeru Zhang, Yang Zhou, and Lingfei Wu. 2022. Input-agnostic certified group fairness via Gaussian parameter smoothing. In Proceedings of the International Conference on Machine Learning. PMLR, 10340–10361."	17	hort	in-processing	compositionnal	different_clf
173	"James E. Johndrow and Kristian Lum. 2019. An algorithm for removing sensitive information: Application to race-independent recidivism prediction. Ann. Appl. Stat. 13, 1 (2019), 189–220."	203	hort	pre-processing	relabelling	perturbation
174	"Alistair E. W. Johnson, Tom J. Pollard, Lu Shen, Li-wei H. Lehman, Mengling Feng, Mohammad Ghassemi, Benjamin Moody, Peter Szolovits, Leo Anthony Celi, and Roger G. Mark. 2016. MIMIC-III, a freely accessible critical care database. Scient. Data 3, 1 (2016), 1–9."	7765	hort			
175	"Kory D. Johnson, Dean P. Foster, and Robert A. Stine. 2016. Impartial predictive modeling: Ensuring fairness in arbitrary models. Stat. Sci. (2016), 1."	45	hort	in-processing	adjusted	
176	"Matthew Joseph, Michael Kearns, Jamie Morgenstern, Seth Neel, and Aaron Roth. 2018. Meritocratic fairness for infinite and contextual bandits. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. 158–163."	60	hort	in-processing	adjusted	bandits
177	"Matthew Joseph, Michael Kearns, Jamie H. Morgenstern, and Aaron Roth. 2016. Fairness in learning: Classic and contextual bandits. Adv. Neural Inf. Process. Syst. 29 (2016)."	543	hort	in-processing	adjusted	bandits
178	"Christopher Jung, Michael Kearns, Seth Neel, Aaron Roth, Logan Stapleton, and Zhiwei Steven Wu. 2019. An algorithmic framework for fairness elicitation. arXiv preprint arXiv:1905.10660 (2019)."	36	hort	in-processing	constraints	individual_fairness
179	"Sangwon Jung, Sanghyuk Chun, and Taesup Moon. 2022. Learning fair classifiers with partially annotated group labels. In Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition. 10348–10357."	48	hort	pre-processing	latent	latent_groupmembership
180	"Peter Kairouz, Jiachun Liao, Chong Huang, Maunil Vyas, Monica Welfert, and Lalitha Sankar. 2022. Generating fair universal representations using adversarial models. IEEE Trans. Inf. Forens. Secur. 17 (2022), 1970–1985. DOI:"	24	hort	pre-processing	representation	adversarial
181	Mohammad Mahdi Kamani. 2020. Multiobjective optimization approaches for bias mitigation in machine learning. Ph. D. Dissertation. Pennsylvania State University.	2	hort	in-processing	adjusted	
182	"Mohammad Mahdi Kamani, Farzin Haddadpour, Rana Forsati, and Mehrdad Mahdavi. 2022. Efficient fair principalcomponent analysis. Machine Learning 111, 10 (2022), 3671–3702."	41	hort	pre-processing	representation	dim_reduction
183	"Faisal Kamiran and Toon Calders. 2009. Classifying without discriminating. In Proceedings of the 2nd International Conference on Computer, Control and Communication. IEEE, 1–6."	586	hort	pre-processing	relabelling	
184	"Faisal Kamiran and Toon Calders. 2010. Classification with no discrimination by preferential sampling. In Proceedings of the 19th Machine Learning Conference. Citeseer, 1–6."	201	hort	pre-processing	sampling	sample
185	"Faisal Kamiran and Toon Calders. 2012. Data preprocessing techniques for classification without discrimination. Knowl. Inf. Syst. 33, 1 (2012), 1–33."	1514	hort	pre-processing	sampling	sample
186	"aisal Kamiran, Toon Calders, and Mykola Pechenizkiy. 2010. Discrimination aware decision tree learning. In Proceedings of the IEEE International Conference on Data Mining. IEEE, 869–874"	458	hort	post-processing	classifier	decision_tree
187	"Faisal Kamiran, Asim Karim, and Xiangliang Zhang. 2012. Decision theory for discrimination-aware classification. In Proceedings of the IEEE 12th International Conference on Data Mining. IEEE, 924–929"	458	hort	post-processing	output	boundary
188	"Faisal Kamiran, Sameen Mansha, Asim Karim, and Xiangliang Zhang. 2018. Exploiting reject option in classification for social discrimination control. Inf. Sci. 425 (2018), 18–33."	62	hort	post-processing	output	boundary
189	"Toshihiro Kamishima, Shotaro Akaho, Hideki Asoh, and Jun Sakuma. 2012. Fairness-aware classifier with prejudice remover regularizer. In Proceedings of the Joint European Conference on Machine Learning and Knowledge Discovery in Databases. Springer, 35–50."	1025	hort	in-processing	regularisation	l2_regression
190	"Toshihiro Kamishima, Shotaro Akaho, Hideki Asoh, and Jun Sakuma. 2013. The independence of fairness-aware classifiers. In Proceedings of the IEEE 13th International Conference on Data Mining Workshops. IEEE, 849–858."	17	hort	in-processing	adjusted	bayesian
191	"Toshihiro Kamishima, Shotaro Akaho, Hideki Asoh, and Jun Sakuma. 2018. Model-based and actual independence for fairness-aware classification. Data Min. Knowl. Discov. 32, 1 (2018), 258–286"	27	hort	in-processing	adjusted	
192	"Toshihiro Kamishima, Shotaro Akaho, and Jun Sakuma. 2011. Fairness-aware learning through regularization approach. In Proceedings of the IEEE 11th International Conference on Data Mining Workshops. IEEE, 643–650."	543	hort	in-processing	regularisation	l2_regression
193	"Kentaro Kanamori and Hiroki Arimura. 2019. Fairness-aware edit of thresholds in a learned decision tree using a mixed integer programming formulation. In Proceedings of the 33rd Annual Conference of the Japanese Society for Artificial Intelligence. The Japanese Society for Artificial Intelligence, 3Rin211–3Rin211."	4	hort	post-processing	classifier	
194	"Kentaro Kanamori and Hiroki Arimura. 2021. Fairness-aware decision tree editing based on mixed-integer linear optimization. Trans. Japan. Societ. Artif. Intell. 36, 4 (2021), B–L13_1"	7	hort	post-processing	classifier	decision_tree
195	"Jian Kang, Tiankai Xie, Xintao Wu, Ross Maciejewski, and Hanghang Tong. 2021. MultiFair: Multi-group fairness in machine learning. arXiv"	21	hort	in-processing	regularisation	intersectional
196	"Michael Kearns, Seth Neel, Aaron Roth, and Zhiwei Steven Wu. 2018. Preventing fairness gerrymandering: Auditing and learning for subgroup fairness. InProceedings of Machine Learning Research, Vol. 80, Jennifer Dy and Andreas Krause (Eds.)."	924	hort	in-processing	adversarial	intersectional
197	"Thomas Kehrenberg, Zexun Chen, and Novi Quadrianto. 2019. Tuning fairness by marginalizing latent target labels. stat 1050 (2019), 10."	3	hort			
198	"Thomas Kehrenberg, Zexun Chen, and Novi Quadrianto. 2020. Tuning fairness by balancing target labels. Front. Artif. Intell. 3 (2020), 33."	20	hort	pre-processing	latent	latent_groupmembership
199	"Kamrun Naher Keya, Rashidul Islam, Shimei Pan, Ian Stockwell, and James R. Foulds. 2020. Equitable allocation of healthcare resources with fair Cox models. arXiv preprint arXiv:2010.06820 (2020)."	28	hort	in-processing	regularisation	
200	"Niki Kilbertus, Adrià Gascón, Matt Kusner, Michael Veale, Krishna Gummadi, and Adrian Weller. 2018. Blind justice: Fairness with encrypted sensitive attributes. In Proceedings of the International Conference on Machine Learning. PMLR, 2630–2639."	172	hort	in-processing	adjusted	lr
201	"Niki Kilbertus, Manuel Gomez Rodriguez, Bernhard Schölkopf, Krikamol Muandet, and Isabel Valera. 2020. Fair decisions despite imperfect predictions. In Proceedings of the International Conference on Artificial Intelligence and Statistics. PMLR, 277–287"	69	hort	in-processing	adjusted	
202	"Niki Kilbertus, Mateo Rojas-Carulla, Giambattista Parascandolo, Moritz Hardt, Dominik Janzing, and Bernhard Schölkopf. 2017. Avoiding discrimination through causal reasoning. In Proceedings of the 31st International Conference on Neural Information Processing Systems (NIPS’17). Curran Associates Inc., Red Hook, NY, 656666."	725	hort	in-processing	constraints	latent_groupmembership
203	"Joon Sik Kim, Jiahao Chen, and Ameet Talwalkar. 2020. Fact: A diagnostic for group fairness trade-offs. In Proceedings of the International Conference on Machine Learning. PMLR, 5264–5274."	57	hort	post-processing	classifier	
204	Jin-Young Kim and Sung-Bae Cho. 2020. Fair representation for safe artificial intelligence via adversarial learning of unbiased information bottleneck. In Proceedings of the Workshop on Artificial Intelligence and Safety (SafeAI@AAAI’20). 105–112	20	hort	pre-processing	representation	adversarial
205	"Jin-Young Kim and Sung-Bae Cho. 2022. An information theoretic approach to reducing algorithmic bias for machine learning. Neurocomputing 500 (2022), 26–38."	21	hort	in-processing	regularisation	
206	"Michael Kim, Omer Reingold, and Guy Rothblum. 2018. Fairness through computationally-bounded awareness. Adv. Neural Inf. Process. Syst. 31"	180	hort	post-processing	output	individual_fairness
207	"Michael P. Kim, Amirata Ghorbani, and James Zou. 2019. Multiaccuracy: Black-box post-processing for fairness in classification. In Proceedings of the AAAI/ACM Conference on AI, Ethics, and Society. 247–254."	385	hort	post-processing	classifier	boosting
208	"Kenji Kobayashi and Yuri Nakao. 2021. One-vs.-one mitigation of intersectional bias: A general method for extending fairness-aware binary classification. In Proceedings of the International Conference on Disruptive Technologies, Tech Ethics and Artificial Intelligence. Springer, 43–54."	11	hort	post-processing	output	group_dependent
209	Junpei Komiyama and Hajime Shimao. 2017. Two-stage algorithm for fairness-aware machine learning. arXiv preprint arXiv:1710.04924 (2017)	23	hort	in-processing	constraints	residuals
210	"Junpei Komiyama, Akiko Takeda, Junya Honda, and Hajime Shimao. 2018. Nonconvex optimization for regression with fairness constraints. In Proceedings of the International Conference on Machine Learning. PMLR, 2737–2746"	130	hort	in-processing	constraints	intersectional
211	"Emmanouil Krasanakis, Eleftherios Spyromitros-Xioufis, Symeon Papadopoulos, and Yiannis Kompatsiaris. 2018. Adaptive sensitive reweighting to mitigate bias in fairness-aware classification. In Proceedings of the World Wide Web Conference. 853–862"	181	hort	pre-processing	sampling	reweighing
212	"Caitlin Kuhlman, Latifa Jackson, and Rumi Chunara. 2020. No computation without representation: Avoiding data and algorithm biases through diversity. arXiv preprint arXiv:2002.11836 (2020)."	47	hort			
213	"Matt J. Kusner, Joshua Loftus, Chris Russell, and Ricardo Silva. 2017. Counterfactual fairness. In Proceedings of the International Conference on Advances in Neural Information Processing Systems. 4066–4076."	2098	hort	in-processing	adjusted	
214	"Preethi Lahoti, Alex Beutel, Jilin Chen, Kang Lee, Flavien Prost, Nithum Thain, Xuezhi Wang, and Ed Chi. 2020. Fairness without demographics through adversarially reweighted learning. Adv. Neural Inf. Process. Syst. 33 (2020), 728–74"	352	hort	in-processing	adversarial	adversarial_reweighted
215	"Preethi Lahoti, Krishna P. Gummadi, and Gerhard Weikum. 2019. iFair: Learning individually fair data representations for algorithmic decision making. In Proceedings of the IEEE 35th International Conference on Data Engineering (ICDE’19). IEEE, 1334–1345."	204	hort	pre-processing	representation	optimisation
216	"Preethi Lahoti, Krishna P. Gummadi, and Gerhard Weikum. 2019. Operationalizing individual fairness with pairwise fair representations. Proc. VLDB Endow. 13, 4 (Dec.2019), 506518"	121	hort	pre-processing	representation	optimisation
217	"Alex Lamy, Ziyuan Zhong, Aditya K. Menon, and Nakul Verma. 2019. Noise-tolerant fair classification. Adv. Neural Inf. Process. Syst. 32 (2019)."	93	hort	in-processing	constraints	
218	"Connor Lawless, Sanjeeb Dash, Oktay Gunluk, and Dennis Wei. 2021. Interpretable and fair Boolean rule sets via column generation. arXiv preprint arXiv:2111.08466 (2021)."	14	hort	in-processing	constraints	
219	"Tai Le Quy, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, and Eirini Ntoutsi. 2022. A survey on datasets for fairnessaware machine learning. Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery 12, 3 (2022), e1452"	263	hort			
220	"Joshua Lee, Yuheng Bu, Prasanna Sattigeri, Rameswar Panda, Gregory Wornell, Leonid Karlinsky, and Rogerio Feris. 2022. A maximal correlation approach to imposing fairness in machine learning. In Proceedings of the IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP’22). IEEE, 3523–3527."	13	hort	in-processing	regularisation	
221	"Joshua Lee, Yuheng Bu, Prasanna Sattigeri, Rameswar Panda, Gregory W. Wornell, Leonid Karlinsky, and Rogerio Schmidt Feris. 2022. A maximal correlation framework for fair machine learning. Entropy 24, 4 (2022), 461."	7	hort	in-processing	regularisation	
222	"Joshua K. Lee, Yuheng Bu, Deepta Rajan, Prasanna Sattigeri, Rameswar Panda, Subhro Das, and Gregory W. Wornell. 2021. Fair selective classification via sufficiency. In Proceedings of the International Conference on Machine Learning. PMLR, 6076–6086."	26	hort	in-processing	adjusted	
223	Michelle Seng Ah Lee and Jat Singh. 2021. The landscape and gaps in open source fairness toolkits. In Proceedings of the CHI Conference on Human Factors in Computing Systems. 1–13.	145	hort			
224	"Chenglu Li, Wanli Xing, and Walter Leite. 2021. Yet another predictive model? Fair predictions of students’ learning outcomes in an online math learning platform. In Proceedings of the 11th International Learning Analytics and Knowledge Conference (LAK’21). 572–578."	24	hort	in-processing	constraints	
225	"Peizhao Li and Hongfu Liu. 2022. Achieving fairness at no utility cost via data reweighing with influence. In Proceedings of the International Conference on Machine Learning. PMLR, 12917–12930"	62	hort	pre-processing	sampling	reweighing
226	"Tianyi Li, Zhoufei Tang, Tao Lu, and Xiaoquan Michael Zhang. 2022. “Propose and review”: Interactive bias mitigation for machine classifiers. Retrieved from: SSRN 4139244 (2022)."	7	hort	pre-processing	relabelling	perturbation
227	"Xinyue Li, Zhenpeng Chen, Jie M. Zhang, Federica Sarro, Ying Zhang, and Xuanzhe Liu. 2023. Dark-skin individuals are at more risk on the street: Unmasking fairness issues of autonomous driving systems. CoRR abs/2308.02935 (2023)."	6	hort			
228	"Xuran Li, Peng Wu, and Jing Su. 2022. Accurate fairness: Improving individual fairness without trading accuracy. arXiv preprint arXiv:2205.08704 (2022)."	19	hort	in-processing	adjusted	
229	"Yanhui Li, Linghan Meng, Lin Chen, Li Yu, Di Wu, Yuming Zhou, and Baowen Xu. 2022. Training data debugging for the fairness of machine learning software. In Proceedings of the IEEE/ACM 44th International Conference on Software Engineering (ICSE’22). 2215–2227. DOI"	49	hort	post-processing	input	perturbation
230	"Yueqing Liang, Canyu Chen, Tian Tian, and Kai Shu. 2022. Joint adversarial learning for cross-domain fair classification. arXiv preprint arXiv:2206.03656 (2022"	4	hort	in-processing	adversarial	latent_groupmembership
231	"Jixue Liu, Jiuyong Li, Lin Liu, Thuc Duy Le, Feiyue Ye, and Gefei Li. 2018. FairMod-making predictive models discrimination aware. arXiv preprint arXiv:1811.01480 (2018"	3	hort	post-processing	output	
232	"Shaofan Liu, Shiliang Sun, and Jing Zhao. 2022. Fair transfer learning with factor variational auto-encoder. Neural Processing Letters55 (2022), 2049–2061. https://api.semanticscholar.org/CorpusID:249702782"	6	hort	pre-processing	representation	vaes
233	"Suyun Liu and Luis Nunes Vicente. 2022. Accuracy and fairness trade-offs in machine learning: A stochasticmulti-objective approach. Computational Management Science 19, 3 (2022), 513–537."	86	hort	in-processing	compositionnal	pareto
234	"Wenyan Liu, Xiangfeng Wang, Xingjian Lu, Junhong Cheng, Bo Jin, Xiaoling Wang, and Hongyuan Zha. 2021. Fair Differential Privacy Can Mitigate the Disparate Impact on Model Accuracy. Retrieved from https://openreview.net/forum?id=IqVB8e0DlUd"	7	hort	in-processing	adjusted	
235	"Michael Lohaus, Michaël Perrot, and Ulrike Von Luxburg. 2020. Too relaxed to be fair. In Proceedings of the International Conference on Machine Learning. PMLR, 6360–6369"	74	hort	in-processing	constraints	
236	Pranay Lohia. 2021. Priority-based post-processing bias mitigation for individual and group fairness. arXiv preprint arXiv:2102.00417(2021	13	hort	post-processing	output	
237	"Pranay K. Lohia, Karthikeyan Natesan Ramamurthy, Manish Bhide, Diptikalyan Saha, Kush R. Varshney, and Ruchir Puri. 2019. Bias mitigation post-processing for individual and group fairness. In Proceedings of the IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP’19). 2847–2851."	209	hort	post-processing	output	boundary
238	"Christos Louizos, Kevin Swersky, Yujia Li, Max Welling, and Richard S. Zemel. 2016. The variational fair autoencoder. In Proceedings of the 4th International Conference on Learning Representations (ICLR’16), Yoshua Bengio and Yann LeCun (Eds.). Retrieved from http://arxiv.org/abs/1511.00830"	749	hort	pre-processing	representation	vaes
239	"Andrew Lowy, Rakesh Pavan, Sina Baharlouei, Meisam Razaviyayn, and Ahmad Beirami. 2021. FERMI: Fair empirical risk minimization via exponential Rényi mutual information. arXiv preprint arXiv:2102.12586 (2021)."	15	hort	in-processing	regularisation	
240	Kristian Lum and James Johndrow. 2016. A statistical framework for fair predictive algorithms. arXiv preprint arXiv:1610.08077 (2016).	124	hort	pre-processing	relabelling	perturbation
241	"Ling Luo, Wei Liu, Irena Koprinska, and Fang Chen. 2015. Discrimination-aware association rule mining for unbiased data analytics. In Proceedings of the International Conference on Big Data Analytics and Knowledge Discovery. Springer, 108–120"	15	hort	in-processing	adjusted	
242	"Binh Thanh Luong, Salvatore Ruggieri, and Franco Turini. 2011. k-NN as an implementation of situation testing for discrimination discovery and prevention. In Proceedings of the 17th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. 502–510."	258	hort	pre-processing	relabelling	massaging
243	Ramanujam Madhavan and Mohit Wadhwa. 2020. Fairness-aware learning with prejudice free representations. In Proceedings of the 29th ACM International Conference on Information & Knowledge Management. 2137–2140.	9	hort	pre-processing	representation	removal_features
244	"David Madras, Elliot Creager, Toniann Pitassi, and Richard Zemel. 2018. Learning adversarially fair and transferable representations. In Proceedings of the International Conference on Machine Learning. PMLR, 3384–3393"	766	hort	pre-processing	representation	adversarial
